,OBJECTID,IncidentSi,POOFips,geometry,year,month,day,FireCause_Human,FireCause_Natural,FireCause_Undetermined,FireCause_Unknown,POOCounty_Aleutians East,POOCounty_Aleutians West,POOCounty_Anchorage,POOCounty_Bethel,POOCounty_Bristol Bay,POOCounty_Denali,POOCounty_Dillingham,POOCounty_Fairbanks North Star,POOCounty_Juneau,POOCounty_Kenai Peninsula,POOCounty_Kodiak Island,POOCounty_Kusilvak,POOCounty_Lake and Peninsula,POOCounty_Matanuska-Susitna,POOCounty_Nome,POOCounty_North Slope,POOCounty_Northwest Arctic,POOCounty_Southeast Fairbanks,POOCounty_Valdez-Cordova,POOCounty_Wade Hampton,POOCounty_Yukon-Koyukuk,POOLandown_ANCSA,POOLandown_BIA,POOLandown_BLM,POOLandown_County,POOLandown_DOD,POOLandown_DOE,POOLandown_NPS,POOLandown_Private,POOLandown_State,POOLandown_Tribal,POOLandown_USFS,POOLandown_USFWS,distance_to_blackspruce,distance_to_paperbirch,distance_to_whitespruce,distance_to_aspen,distance_to_poplar
2,486,18.0,02122,POINT (233782.5900887113 1173528.8867319806),2022,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8364.21602789932,245.27469448149787,103.31973810403758,907.1697859841242,4982.452069007416
4,1278,22.0,02122,POINT (241980.69247114423 1183860.9184458305),2021,10,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4713.47296454719,1150.8671684803055,106.62639740890899,1105.782135372396,4555.836727994726
5,2575,212504.4,02290,POINT (134373.14920113873 1655232.0558138024),2022,6,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,963.5402883695263,96.44437433649091,184.4829899828392,40.42210664433873,813.3448550033631
8,5090,919.6,02016,POINT (-1534336.8029749778 480098.72017352754),2022,5,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1059561.7250353766,102602.6140918558,2691.804990000546,1406406.2647216192,1214642.2290902624
9,5850,40.0,02122,POINT (241556.39458682298 1183080.4261480367),2020,11,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3911.2936093510143,886.1935730451669,130.83406982246265,1046.7311924142089,3940.354249409954
20,13816,200.0,02122,POINT (164142.43896827736 1172851.8157116922),2015,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.010840023216563,0.0,684.7297132618183,3057.505503046183,50720.26782244055
22,14785,171.0,02240,POINT (410092.4572092831 1578070.8925461487),2019,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,781.2437096503136,0.0,0.0,360.78169635430214,8689.97503389736
28,21561,19.8,02240,POINT (597217.2876689371 1731544.8046400761),2018,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2898.651722790157,964.4057936004566,2304.464249365713,2992.8003525868075
30,22431,45.0,02240,POINT (410092.4572092831 1578070.8925461487),2018,10,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,781.2437096503136,0.0,0.0,360.78169635430214,8689.97503389736
39,35456,140355.8,02290,POINT (-43884.10054366585 1617340.2327146546),2022,6,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,491.92957766867016,221.1932493543428,1920.1783494062638,2510.1840973490553
45,40586,70.5,02090,POINT (304392.7783442212 1670705.4546668963),2017,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,347.2205748826365,0.0,74.84906505476552,424.05755653404833,9148.178866493176
51,49398,100.0,02122,POINT (251367.01822406604 1167568.8502977819),2016,9,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4678.061005368131,306.2537329002998,49.837669889790604,14376.149954569773,5162.257364160413
68,64417,136.5,02090,POINT (302446.5744545117 1667390.032213306),2016,10,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.96210727518438,1223.9074496953438,0.0,1275.0320704740222,8691.04041539362
71,65839,41.5,02090,POINT (302138.41934601514 1668386.5989876492),2018,9,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,655.7950625151193,589.1996734015182,0.0,1022.6791787653254,9423.83205607858
72,67644,275703.0,02290,POINT (53990.19158148132 1551384.8336197461),2022,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2099.9753795015663,26.969454669049878,18877.509993873802,15241.182857563419
86,74200,3600.0,02090,POINT (292881.4838341989 1666788.2208372303),2015,6,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,739.7492098067332,1536.4338185206066,0.0,919.1763483615341,6385.927314639328
88,74995,266.4,02240,POINT (523658.0877026595 1733503.0798064165),2016,7,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49.273170463329194,898.496393269678,0.0,2302.8864115077445,1878.4246245931986
90,75607,91679.7,02290,POINT (172341.72541427877 1833982.9436738153),2022,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,177.36882662943816,2629.489052024935,2900.1654606278908,28638.671927420553
100,82500,54.8,02240,POINT (580707.059232216 1717990.9779056497),2022,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1050.6605502383527,136.80459573872167,454.9718686320502,4670.433997042959
101,82629,832.4,02240,POINT (498751.33889945486 1544631.337462088),2017,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1733.8733219258672,1152.3934869668283,0.0,126.49775073557349,274.46848616396073
102,82633,823.3,02261,POINT (401766.5996956332 1347621.804041828),2019,7,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,8474.335327959121,560.7829293978461,17303.11480075806,5632.96762487631
105,82801,1100.0,02090,POINT (302974.97995241213 1664769.926470159),2017,4,29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.353526706204202,1216.483646153618,0.0,552.7121675566573,7421.330314328412
112,83166,29.1,02240,POINT (540802.2584854113 1726195.722439273),2017,7,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102.398512532978,1300.341137985485,0.0,2391.5365942711937,19696.91536393975
113,83205,1717.8,02290,POINT (-135320.78436759664 1517194.6769744165),2018,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1623.5733427294526,6298.248721411175,0.0,12651.14068923616,12051.803877634136
118,83439,48.0,02050,POINT (-469894.9070877086 1242061.2067506034),2019,6,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65077.7446802188,69397.53334792641,68694.46798127692,158922.48841608298,108969.26093881848
121,83683,100.5,02290,POINT (-123230.09117034906 1428068.176533029),2020,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,193.17653302894902,4323.878829210799,0.0,21910.10381951996,22540.520936770008
123,83825,14881.4,02290,POINT (461853.69578183844 1962311.0389692816),2015,6,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9876.106244951414,3733.104261151013,9589.981650259633,20598.052958788558
126,83907,967.0,02240,POINT (575616.257003947 1762411.8416904192),2021,7,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1546.2157775706753,752.6399100052246,209.7932774291729,9130.727399084984
134,84223,56.0,02170,POINT (147295.9012393506 1386827.9566049848),2017,6,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15159.409319156375,354.07876640741136,0.0,62987.44197535471,114295.61835134229
135,84235,7806.8,02290,POINT (34914.84646913531 1824453.4567370196),2022,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,66873.17464970521,3244.2238123358206,68125.71916830043,1881.0004199041198
144,84500,26243.2,02050,POINT (-285653.74955958285 1261086.4827606736),2022,6,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,79.06429567390092,2717.9766725208888,27767.855156510122,7250.025719612671
146,84631,447.4,02050,POINT (-233682.33191676246 1253266.735835509),2019,7,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,21943.125840638946,1712.1982249444839,10667.670942410849,3141.7379679574765
